IUPAC,ACG,CTB,DC_SIGN,Gal4,LCA,MAL,NPL,PSA,SBA,SNL,UEA
(4S)Gal(b1-4)GlcNAc(b1-Sp8,11.6674,57.941075,11.845225,21.652875,2.8565,20.4947,4.53365,13.53555,-19.465775,141.29635,-13.17005
(6P)Man(a1-Sp8,2.5887,223.302125,13.28205,12.897975,32.3324,73.232525,13.5296,23.2802,-4.2278,179.082775,5.860675
(6S)Gal(b1-4)Glc(b1-Sp0,25.166025,105.9339,37.28285,11.43675,15.9708,143.787525,8.2686,37.901025,-24.0739,85.36295,-7.467525
(6S)Gal(b1-4)Glc(b1-Sp8,18.415575,258.680925,24.160675,23.20175,25.164425,41.3206,3.30055,21.3868,-9.35455,66.129275,14.118675
(6S)Gal(b1-4)GlcNAc(b1-Sp8,11.013875,43.693125,78.3513,11.905275,14.35485,-17.972425,3.4969,1.112675,-19.924425,2819.5225,-12.170725
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,45.377275,231.211625,12.889275,15.31855,9.1405,87.745325,67.747175,8.705675,-8.991625,1771.598225,-3.307575
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,4.55155,43.31895,10.307575,11.259075,179.9321,-55.728775,-3.258,7.5068,-26.05465,2.2734,-13.8888
(6S)GlcNAc(b1-Sp8,82.1373,138.237575,18.6959,9.6174,15.2699,-94.9888,8.855825,13.027175,-16.624775,1.7597,-8.41165
"Neu5,9Ac2(a1-Sp8",26.271675,44.675025,15.3628,9.0192,-1.1192,-85.7196,7.954775,11.97085,-27.1375,-3.3545,-25.060625
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",27.32785,210.111125,25.41965,7.835475,12.102925,75.658775,1.917975,1.54745,-6.677375,45574.3702,-17.7897
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,40.1409,78.9,30.741725,5.019125,560.8968,76.401625,17296.11165,28.43485,28.126275,2.34065,-0.7943
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,50.64905,70.72105,19.81905,3.864975,29483.12125,17.586225,27102.01585,29.538175,245.7121,9.071425,3.288775
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,13.2488,65.521,94.57485,1.815725,19645.4204,101.536675,985.71665,16.622875,13.236,-5.3658,0.974475
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,25.518675,54.990725,13.556225,7.061725,39887.41968,-3.091825,6161.6677,4.2645,128.431425,12.84165,-8.9395
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,9.40185,1086.44145,66.71795,6.49225,1115.707025,-15.167275,1714.969,4.8423,-12.319725,-6.2752,-6.1541
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,6.5011,111.977175,15.30275,8.53095,131.937625,35.646625,8.931425,4.6473,-12.9934,28263.84188,-1.626825
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,10.8763,71.31625,50.327575,13.072125,427.559275,-47.21225,28.582525,7.4427,4.9847,35093.6925,16.582975
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,41.933375,54.95265,56.0995,9.2182,457.475,9.596425,39.678525,12.037525,-4.5408,40409.83958,6.747975
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,33.31705,700.49475,13.253425,7.800575,65.1144,909.39965,26.750375,14.116475,-0.6332,-2.439275,26.672775
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,24.54415,99.21255,16.43325,8.661225,16.9419,105.81565,9.647925,21.615775,-10.43145,231.558275,-9.96765
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,-2.87535,143.354425,88.983325,8.840275,11.182225,62.603375,6.427575,12.6356,-18.24595,-4.93945,7.44575
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,14.1344,96.9049,25.843025,12.086475,21.503925,2.297025,0.734775,6.304575,-16.22895,259.219125,-2.679775
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,13.97845,83.26485,18.49475,14.273775,10.298825,31.10495,19.72345,5.7368,-27.41915,3798.488,1.461225
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.2423,15543.43865,66.1728,12.848875,56.0342,24.92205,34.278975,31.3381,-16.705175,152.735725,-1.848275
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,-2.037575,23185.91143,7.502875,14.962075,13.869225,0.35695,6.033775,14.6901,-18.616925,0.35985,7.05585
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,25.5013,91.03365,27.8429,427.3759,23.09275,39.97155,0.573275,3.017475,-24.5581,6.6288,18.383475
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,8.18345,135.5214,23.193125,338.289925,13.898,-9.63655,0.857225,7.07225,-13.4999,283.257025,11.88025
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,20.11425,72.359125,18.741425,21.1769,16.98445,47.121125,4.798,9.44085,-39.175025,23.489875,24.697375
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,9.09675,160.20845,19.271025,12.96415,4.48735,-27.115175,11.9387,8.6269,-11.256025,-2.45195,9.47495
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,19.256925,7521.188625,5276.81345,9.8526,33.16265,5.587425,9.2468,12.67975,-25.58835,-0.262875,37.3884
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,31.187275,8719.6536,3124.9804,8.415075,20.996475,196.473075,29.076475,17.238075,-14.0201,61.396625,22.8732
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.90085,4400.826475,1059.235575,6.14365,35.12975,-21.58315,1.839025,4.806725,-23.927975,-2.130075,25156.11395
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,25.2022,8078.1517,34.128925,7.726775,18.949275,116.654125,1.674725,2.376175,-12.87495,-2.339875,22512.33858
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.96425,6929.698675,30.811475,17.685425,6.456975,99.18115,11.620775,3.2401,-3.067075,-1.187425,5943.967825
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,20.824075,12143.7293,32.66115,16.116025,39.6638,3.34025,8.1733,4.20265,0.123,-2.755025,3058.88025
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,11.282025,4694.741575,42.5467,4.571175,17.6567,43.0851,18.81185,20.697975,-9.53935,-1.6591,25335.62675
