IUPAC,ACG,CTB,DC_SIGN,Gal4,LCA,MAL,NPL,PSA,SBA,SNL,UEA
(6P)Man(a1-Sp8,0.00872479,0.00661833,0.002404048,0.010197995,0.001077353,0.005098311,0.001479257,0.00640634,0.002220546,0.005486098,0.001320032
(6S)Gal(b1-4)Glc(b1-Sp0,0.02454559,0.002958783,0.006952914,0.009328583,0.000731022,0.006773416,0.001285329,0.007187388,0.001699043,0.003656909,0.001044254
(6S)Gal(b1-4)Glc(b1-Sp8,0.01981529,0.007721443,0.004465871,0.016328621,0.000925627,0.004340663,0.0011022,0.006305194,0.002085829,0.003281513,0.001490901
(6S)Gal(b1-4)GlcNAc(b1-Sp8,0.014628634,0.001018113,0.014736609,0.00960735,0.000696817,0.002932938,0.001109437,0.005222146,0.001808081,0.05702124,0.000946938
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,0.038708391,0.006864949,0.002329605,0.011638209,0.000586443,0.005442871,0.003477795,0.005627765,0.002095366,0.036568236,0.001130329
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,0.010100234,0.001006446,0.001840296,0.009222869,0.004201643,0.002036533,0.000860442,0.005563721,0.001646995,0.002035197,0.000911389
(6S)GlcNAc(b1-Sp8,0.064467555,0.003966013,0.003430134,0.008246091,0.000716186,0.001104428,0.001306975,0.005858621,0.001894787,0.002025171,0.001024719
"Neu5,9Ac2(a1-Sp8",0.025320362,0.001048728,0.002798412,0.007890169,0.000369273,0.001324495,0.001273761,0.005802192,0.00161854,0.001925354,0.000680229
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",0.026060464,0.006207034,0.004704485,0.007185867,0.00064915,0.005155914,0.001051236,0.005245371,0.002156178,0.891494809,0.000830674
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,0.035039062,0.002115865,0.005713176,0.005510172,0.012265643,0.005173551,0.638540203,0.006681702,0.003070726,0.00203651,0.001182332
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,0.042402527,0.001860845,0.003643004,0.004823466,0.624471501,0.003777165,1,0.006740642,0.008788304,0.002167879,0.001266816
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,0.016194732,0.001698707,0.017811454,0.003604186,0.416233781,0.005770303,0.037315477,0.006050704,0.002679449,0.001886098,0.00121893
